review_id,section,claim_id,claim_text,is_quote,has_numbers,is_causal_or_normative,citation_text,citation_type,citation_author,citation_year,is_secondary,primary_mentioned_author,primary_mentioned_year,stated_page,in_reference_list,source_pdf_path,priority
2_1,unknown,9bbbcda3,"Finally, at the macro or system-wide level, national M&E policies, legal mandates, and budget allocations form the backbone of a sustainable M&E system (Chirau et al., 2022).",False,True,False,"(Chirau et al., 2022)",parenthetical,Chirau et al.,2022,False,,,,False,,High
2_1,unknown,843f2ae1,"For example, Kanyamuna (2021) underscores the value of a whole-of-government approach, in which standardized indicators and integrated national frameworks ensure that data are comparable across ministries and feed into a shared platform for evidence-based policy.",False,True,False,Kanyamuna (2021),narrative,Kanyamuna,2021,False,,,,False,pilot_inputs/sources_pdf\Kanyamuna_2021.pdf,High
2_1,unknown,e2ec7769,"Country-led approaches further emphasize that local contexts, rather than donor imperatives, should dictate the focus and structure of M&E system interventions (Chirau, Masilela, & Dlakavu, 2020).",False,True,True,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,False,,High
2_1,unknown,2ef64f8a,"Another cornerstone of M&E systems strengthening lies in formalizing M&E within governance structures, often referred to as “institutionalization.” This process includes legal or policy mandates requiring government agencies to not only collect data but also use it systematically in planning and budgeting (Matsiliza, 2019).",True,True,False,"(Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,False,pilot_inputs/sources_pdf\Matsiliza_2019.pdf,High
2_1,unknown,2cf4e277,"Makadzange (2022) describes this as achieving “fully institutionalised M&E systems,” which entails embedding M&E principles across the public sector, reinforcing them with legislation, and ensuring that responsibilities for data collection, analysis, and reporting are clearly designated.",True,True,False,Makadzange (2022),narrative,Makadzange,2022,False,,,,False,pilot_inputs/sources_pdf\Makadzange_2022.pdf,High
2_1,unknown,7e501136,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",False,True,False,"(Chirau et al., 2022; Kanyamuna et al., 2018)",parenthetical,Chirau et al.,2022,False,,,,False,,High
2_1,unknown,d6f78724,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",False,True,False,"(Chirau et al., 2022; Kanyamuna et al., 2018)",parenthetical,Kanyamuna et al.,2018,False,,,,False,,High
2_1,unknown,077432c6,"By linking M&E outputs to annual budget cycles and strategic planning, governments can create what Kanyamuna (2021) calls a “functional whole-of-government monitoring and evaluation system.” This integration signals that evaluation and monitoring are not isolated tasks but integral components of evidence-based governance.",True,True,False,Kanyamuna (2021),narrative,Kanyamuna,2021,False,,,,False,pilot_inputs/sources_pdf\Kanyamuna_2021.pdf,High
2_1,unknown,589afda2,"Policy integration also involves creating national M&E frameworks or strategies that guide ministries, departments, and agencies (CLEAR-AA, 2020).",False,True,False,"(CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,False,,High
2_1,unknown,86245ea2,"As Masvaure and Fish (2022) note, a recurring challenge is balancing monitoring (which tends to be more routine and compliance-oriented) with deeper evaluative work.",False,True,False,Masvaure and Fish (2022),narrative,Masvaure and Fish,2022,False,,,,False,,High
2_1,unknown,5606d472,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",True,True,False,"(Chirau et al., 2022; Campbell, 2021)",parenthetical,Chirau et al.,2022,False,,,,False,,High
2_1,unknown,bcc1dbad,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",True,True,False,"(Chirau et al., 2022; Campbell, 2021)",parenthetical,Campbell,2021,False,,,,False,pilot_inputs/sources_pdf\Campbell_2021.pdf,High
2_1,unknown,41540df6,"Donor-driven fragmentation, however, can inhibit the formation of robust national systems when multiple agencies fund short-term, project-based M&E without aligning to national strategies (Chirau, Masilela, & Dlakavu, 2020).",False,True,False,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,False,,High
2_1,unknown,ef30c0f3,"The presence of professional evaluation associations, academic programs in M&E, and communities of practice can cultivate shared learning and advocacy for best practices (Makadzange, 2022).",False,True,False,"(Makadzange, 2022)",parenthetical,Makadzange,2022,False,,,,False,pilot_inputs/sources_pdf\Makadzange_2022.pdf,High
2_1,unknown,c5e6cae8,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",False,True,False,"(Masvaure & Chirau, 2020; CLEAR-AA, 2020)",parenthetical,Masvaure & Chirau,2020,False,,,,False,,High
2_1,unknown,28099d80,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",False,True,False,"(Masvaure & Chirau, 2020; CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,False,,High
2_1,unknown,77b1a3d8,"Researchers increasingly call for outcome-based indicators that track changes in how data are generated, used, and integrated into policy decisions (Masvaure & Fish, 2022).",False,True,False,"(Masvaure & Fish, 2022)",parenthetical,Masvaure & Fish,2022,False,,,,False,,High
2_1,unknown,da47079f,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",False,True,False,"(Chirau et al., 2022; Matsiliza, 2019)",parenthetical,Chirau et al.,2022,False,,,,False,,High
2_1,unknown,85bb6acc,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",False,True,False,"(Chirau et al., 2022; Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,False,pilot_inputs/sources_pdf\Matsiliza_2019.pdf,High
2_1,unknown,2fda354b,"Without coordination, these projects risk creating parallel data systems, duplicative indicators, or short-lived capacity-building efforts that dissipate once donor funding ends (Chirau, Masilela, & Dlakavu, 2020).",False,True,False,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,False,,High
2_1,unknown,637fbd87,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",False,True,False,"(Chirau et al., 2022; Kanyamuna, 2021)",parenthetical,Chirau et al.,2022,False,,,,False,,High
2_1,unknown,8f3bb285,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",False,True,False,"(Chirau et al., 2022; Kanyamuna, 2021)",parenthetical,Kanyamuna,2021,False,,,,False,pilot_inputs/sources_pdf\Kanyamuna_2021.pdf,High
2_1,unknown,c8b12bb6,Sources such as CLEAR-AA (2020) and Chirau et al.,False,True,False,CLEAR-AA (2020),narrative,CLEAR-AA,2020,False,,,,False,,High
2_2,unknown,5cc8218c,"Focusing on five influential frameworks – King & Alkin (2018), Kuchenmüller et al.",False,True,False,King & Alkin (2018),narrative,King & Alkin,2018,False,,,,False,,High
2_2,unknown,6a263e86,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",False,True,False,Ottoson (2009),narrative,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,unknown,a05fab33,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,unknown,3b4d9f3f,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",False,True,False,Yearwood (2018),narrative,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,unknown,69c4075c,"Multilevel Influence Frameworks (King & Alkin, 2018)",False,True,False,"(King & Alkin, 2018)",parenthetical,King & Alkin,2018,False,,,,False,,High
2_2,unknown,d501ca6e,"King and Alkin (2018) propose a multilevel framework that integrates earlier models of evaluation use and influence, particularly Henry and Mark’s (2003) Schematic Theory and Kirkhart’s (2000) Integrated Theory.",False,True,False,King and Alkin (2018),narrative,King and Alkin,2018,False,,,,False,,High
2_2,unknown,e34cf140,"King and Alkin (2018) propose a multilevel framework that integrates earlier models of evaluation use and influence, particularly Henry and Mark’s (2003) Schematic Theory and Kirkhart’s (2000) Integrated Theory.",False,True,False,Henry and Mark’s (2003),narrative,Henry and Mark’s,2003,False,,,,False,,High
2_2,unknown,114c2189,"King and Alkin (2018) propose a multilevel framework that integrates earlier models of evaluation use and influence, particularly Henry and Mark’s (2003) Schematic Theory and Kirkhart’s (2000) Integrated Theory.",False,True,False,Theory and Kirkhart’s (2000),narrative,Theory and Kirkhart’s,2000,False,,,,False,,High
2_2,unknown,6936f7d6,"Knowledge-Translation Network Theory (Kuchenmüller et al., 2022)",False,True,False,"(Kuchenmüller et al., 2022)",parenthetical,Kuchenmüller et al.,2022,False,,,,False,,High
2_2,unknown,3cdb60bf,"Knowledge-for-Action Lenses (Ottoson, 2009)",False,True,False,"(Ottoson, 2009)",parenthetical,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,unknown,2bc760b8,"Ottoson (2009) synthesizes five influential theoretical perspectives – knowledge utilization, diffusion, implementation, transfer, and translation – into what she calls “knowledge-for-action” theories.",True,True,False,Ottoson (2009),narrative,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,each theory contributes distinct evaluative emphases,94916acf,"Capacity-Building Ecosystem Theory of Change (Stewart, 2015)",False,True,False,"(Stewart, 2015)",parenthetical,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,8ff48e1b,"Stewart (2015) proposes a people-centered, demand-led Theory of Change (ToC) for building the capacity of decision-makers to use research evidence, grounded in the governance, economic, and social realities of Southern Africa.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,e33fdb3e,"Push–Pull–Exchange Mechanism (Yearwood, 2018)",False,True,False,"(Yearwood, 2018)",parenthetical,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,68dcd7a3,Yearwood (2018) presents a Theory of Change grounded in the EvIDeNCe initiative – an integrated regional effort led by the Caribbean Public Health Agency (CARPHA) to strengthen the uptake of research in health policymaking.,False,True,False,Yearwood (2018),narrative,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,20bbd708,"Across frameworks, this includes efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals (Ottoson, 2009; Yearwood, 2018), and harmonizing indicator sets across networks (Kuchenmüller et al., 2022).",False,True,False,"(Ottoson, 2009; Yearwood, 2018)",parenthetical,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,each theory contributes distinct evaluative emphases,b41dccb0,"Across frameworks, this includes efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals (Ottoson, 2009; Yearwood, 2018), and harmonizing indicator sets across networks (Kuchenmüller et al., 2022).",False,True,False,"(Ottoson, 2009; Yearwood, 2018)",parenthetical,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,6a501002,"Across frameworks, this includes efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals (Ottoson, 2009; Yearwood, 2018), and harmonizing indicator sets across networks (Kuchenmüller et al., 2022).",False,True,False,"(Kuchenmüller et al., 2022)",parenthetical,Kuchenmüller et al.,2022,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,63d7cdbb,"Stewart (2015) emphasizes that evidence use must be institutionally rewarded – through HR systems, budget allocations, and leadership mandates – to become routine.",False,True,True,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,5ecb233d,"Similarly, frameworks by King & Alkin (2018) and Kuchenmüller et al.",False,True,False,King & Alkin (2018),narrative,King & Alkin,2018,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,ed8b9c89,"These include stakeholder dialogues (Yearwood, 2018), mentorship networks (Stewart, 2015), and co-productive spaces for agenda-setting and sensemaking (Ottoson, 2009).",False,True,False,"(Yearwood, 2018)",parenthetical,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,a94f9371,"These include stakeholder dialogues (Yearwood, 2018), mentorship networks (Stewart, 2015), and co-productive spaces for agenda-setting and sensemaking (Ottoson, 2009).",False,True,False,"(Stewart, 2015)",parenthetical,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,5a8965af,"These include stakeholder dialogues (Yearwood, 2018), mentorship networks (Stewart, 2015), and co-productive spaces for agenda-setting and sensemaking (Ottoson, 2009).",False,True,False,"(Ottoson, 2009)",parenthetical,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,each theory contributes distinct evaluative emphases,e2f1410b,"Network charters, peer-review mechanisms, and Secretariat facilitation (Kuchenmüller et al., 2022) help institutionalize these exchanges and legitimize the resulting knowledge.",False,True,False,"(Kuchenmüller et al., 2022)",parenthetical,Kuchenmüller et al.,2022,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,901bedba,These risks underscore the value of diagnostic approaches – like Ottoson’s (2009) composite lens or King and Alkin’s multilevel schema – that help identify the mechanisms most likely to succeed under particular conditions.,False,True,False,Ottoson’s (2009),narrative,Ottoson’s,2009,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,e6381696,"Stewart (2015) and Ottoson (2009) stress that without an enabling environment, even the best-trained staff are unlikely to use evidence.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,3d751345,"Stewart (2015) and Ottoson (2009) stress that without an enabling environment, even the best-trained staff are unlikely to use evidence.",False,True,False,Ottoson (2009),narrative,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_2,each theory contributes distinct evaluative emphases,104cca6d,"These include codified roles for M&E units, integration of evidence standards into national planning systems, and Secretariat-facilitated peer review mechanisms (Yearwood, 2018; Kuchenmüller et al., 2022).",False,True,False,"(Yearwood, 2018; Kuchenmüller et al., 2022)",parenthetical,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,4361dfee,"These include codified roles for M&E units, integration of evidence standards into national planning systems, and Secretariat-facilitated peer review mechanisms (Yearwood, 2018; Kuchenmüller et al., 2022).",False,True,False,"(Yearwood, 2018; Kuchenmüller et al., 2022)",parenthetical,Kuchenmüller et al.,2022,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,c8f1954f,"King and Alkin (2018) go further to suggest that system-level influence hinges on such institutional codification, which transforms isolated use into collective, routinized influence.",False,True,False,King and Alkin (2018),narrative,King and Alkin,2018,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,006a550e,"Yearwood (2018) and Stewart (2015) both highlight how communities of practice, stakeholder dialogues, and sustained mentorship can build mutual trust and legitimacy.",False,True,False,Yearwood (2018),narrative,Yearwood,2018,False,,,,False,pilot_inputs/sources_pdf\Yearwood_2018.pdf,High
2_2,each theory contributes distinct evaluative emphases,02926a37,"Yearwood (2018) and Stewart (2015) both highlight how communities of practice, stakeholder dialogues, and sustained mentorship can build mutual trust and legitimacy.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_2,each theory contributes distinct evaluative emphases,6cabd27d,"Stewart’s (2015) Southern African ToC explicitly incorporates poverty, inequality, and donor reliance into its logic, while Kuchenmüller’s (2022) network ToC acknowledges that KT systems evolve through different maturity phases, requiring varying forms of support.",False,True,False,Stewart’s (2015),narrative,Stewart’s,2015,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,5bb2f9c3,"Kirkhart’s long-term influence model (via King & Alkin, 2018) and Yearwood’s backward-mapped ToC both encourage planners to anticipate distal, indirect effects.",False,True,False,"(via King & Alkin, 2018)",parenthetical,King & Alkin,2018,False,,,,False,,High
2_2,each theory contributes distinct evaluative emphases,68f81ab8,Ottoson (2009) contributes a crucial insight by refusing to collapse diverse theories into a single use model.,False,True,False,Ottoson (2009),narrative,Ottoson,2009,False,,,,False,pilot_inputs/sources_pdf\Ottoson_2009.pdf,High
2_3,unknown,9b434975,"Scholars across multiple contexts highlight that “demand” for evaluative evidence can manifest in different ways, including explicit government or donor requests for evaluations, national budget allocations earmarked for evaluation, or institutional mandates requiring evidence-based decision-making (Adams et al., 2013; Mulenga & Porter, 2013).",True,True,False,"(Adams et al., 2013; Mulenga & Porter, 2013)",parenthetical,Adams et al.,2013,False,,,,False,,High
2_3,unknown,02da91b0,"Scholars across multiple contexts highlight that “demand” for evaluative evidence can manifest in different ways, including explicit government or donor requests for evaluations, national budget allocations earmarked for evaluation, or institutional mandates requiring evidence-based decision-making (Adams et al., 2013; Mulenga & Porter, 2013).",True,True,False,"(Adams et al., 2013; Mulenga & Porter, 2013)",parenthetical,Mulenga & Porter,2013,False,,,,False,,High
2_3,unknown,db963fb0,"For example, CLEAR-AA (2020) underscores that a national M&E policy or formal government requirement for evaluations often serves as a proxy for strong institutional demand.",False,True,False,CLEAR-AA (2020),narrative,CLEAR-AA,2020,False,,,,False,,High
2_3,unknown,42302666,(2013) and further elaborated by Kumwenda and Latib (2013).,False,True,False,Kumwenda and Latib (2013),narrative,Kumwenda and Latib,2013,False,,,,False,,High
2_3,unknown,3bbaf5ea,"Mulenga and Porter (2013) confirm that in Zambia, donors repeatedly commission or require evaluations as part of accountability requirements, making external impetus a strong driver of demand.",False,True,False,Mulenga and Porter (2013),narrative,Mulenga and Porter,2013,False,,,,False,,High
2_3,unknown,287514b9,"Similarly, Kumwenda and Latib (2013) in Malawi find that while government initiatives for performance assessment are budding, donor pressure remains a more consistent source of formal evaluation requests.",False,True,False,Kumwenda and Latib (2013),narrative,Kumwenda and Latib,2013,False,,,,False,,High
2_3,unknown,3c062381,"CLEAR-AA (2020) notes that when government agencies establish and fund dedicated M&E units, it signals an ongoing institutional demand for evidence.",False,True,False,CLEAR-AA (2020),narrative,CLEAR-AA,2020,False,,,,False,,High
2_3,unknown,31210e67,"Meanwhile, Niringiye (2018) describes how Uganda’s Ministry of Finance mandates evaluations for large-scale projects, a structural signal of demand measured by the percentage of projects requiring formal evaluation.",False,True,False,Niringiye (2018),narrative,Niringiye,2018,False,,,,False,pilot_inputs/sources_pdf\Niringiye_2018.pdf,High
2_3,unknown,552bd087,"As documented by Niringiye (2018), Uganda actively tracks the size of its evaluator pool, initially identifying 75 individuals and 18 firms, later updating to over 150 local experts.",False,True,False,Niringiye (2018),narrative,Niringiye,2018,False,,,,False,pilot_inputs/sources_pdf\Niringiye_2018.pdf,High
2_3,unknown,3febd295,"Mulenga and Porter (2013) similarly identify local universities, think tanks, and private firms in Zambia that contribute to the evaluation landscape.",False,True,False,Mulenga and Porter (2013),narrative,Mulenga and Porter,2013,False,,,,False,,High
2_3,unknown,88db9356,"Beyond raw counts, researchers gauge evaluator competence by examining specialized training, professional degrees, and proficiency in data analysis software, such as NVivo or Stata (Wao et al., 2017).",False,True,False,"(Wao et al., 2017)",parenthetical,Wao et al.,2017,False,,,,False,,High
2_3,unknown,a186c424,"For instance, Masvaure and Fish (2022) report that capacity-strengthening initiatives in several African countries measure change through pre/post training assessments or by tracking the number of individuals who become certified in advanced evaluation methods.",False,True,False,Masvaure and Fish (2022),narrative,Masvaure and Fish,2022,False,,,,False,,High
2_3,unknown,3c39eefb,"Donnelly and Searle (2017) highlight that evaluation capacity building (ECB) is often operationalized by counting workshops conducted or evaluating the presence of formal M&E degree programs, though these efforts sometimes capture only short-term outputs (e.g., number of trainees) rather than the long-term improvements in institutional capacity.",False,True,False,Donnelly and Searle (2017),narrative,Donnelly and Searle,2017,False,,,,False,,High
2_3,unknown,bc59f600,"Kanyamuna (2021) references LEADS scoring in Zambia (ranging from “Little action” to “Sustainable”) as one structured method to assess dimensions such as organizational capacity, methodology, and participation.",True,True,False,Kanyamuna (2021),narrative,Kanyamuna,2021,False,,,,False,pilot_inputs/sources_pdf\Kanyamuna_2021.pdf,High
2_3,unknown,f9f82531,"(2013), Kumwenda and Latib (2013), and Niringiye (2018) – international consultants are shown to dominate major evaluations, often due to perceived or actual gaps in local expertise.",False,True,False,Kumwenda and Latib (2013),narrative,Kumwenda and Latib,2013,False,,,,False,,High
2_3,unknown,6b8b6855,"(2013), Kumwenda and Latib (2013), and Niringiye (2018) – international consultants are shown to dominate major evaluations, often due to perceived or actual gaps in local expertise.",False,True,False,Niringiye (2018),narrative,Niringiye,2018,False,,,,False,pilot_inputs/sources_pdf\Niringiye_2018.pdf,High
2_3,unknown,9a5af3b3,"Furthermore, institutional frameworks, such as the presence of recognized M&E networks (e.g., the Ghana Monitoring and Evaluation Forum), are indicators of how robust or weak local supply might be (Adams et al., 2013).",False,True,False,"(Adams et al., 2013)",parenthetical,Adams et al.,2013,False,,,,False,,High
2_3,unknown,c1d3d75d,"The “use” of evaluative evidence is frequently subdivided into instrumental, conceptual, and symbolic (or persuasive) use (Johnson et al., 2009).",True,True,False,"(Johnson et al., 2009)",parenthetical,Johnson et al.,2009,False,,,,False,,High
2_3,unknown,5d8f76e5,"Symbolic or persuasive use arises when findings are invoked primarily to justify pre-existing positions or satisfy donor or public demands for accountability (Johnson et al., 2009; Worton et al., 2017).",False,True,False,"(Johnson et al., 2009; Worton et al., 2017)",parenthetical,Johnson et al.,2009,False,,,,False,,High
2_3,unknown,bf910e86,"Symbolic or persuasive use arises when findings are invoked primarily to justify pre-existing positions or satisfy donor or public demands for accountability (Johnson et al., 2009; Worton et al., 2017).",False,True,False,"(Johnson et al., 2009; Worton et al., 2017)",parenthetical,Worton et al.,2017,False,,,,False,,High
2_3,unknown,a82f23f7,"Similarly, Niringiye (2018) identifies how the Office of the Prime Minister in Uganda attempts to incorporate evaluation findings but notes that the actual uptake is limited by a lack of systematic feedback loops.",False,True,False,Niringiye (2018),narrative,Niringiye,2018,False,,,,False,pilot_inputs/sources_pdf\Niringiye_2018.pdf,High
2_3,unknown,9737a3c1,"Donnelly and Searle (2017) note that stakeholder involvement, typically measured by counting how many and which stakeholders participate in research design or data analysis, can be an important predictor of whether evaluation findings eventually become integrated into decisions.",False,True,False,Donnelly and Searle (2017),narrative,Donnelly and Searle,2017,False,,,,False,,High
2_3,unknown,ff7da2c7,"Scholars propose measures like the proportion of ministries that prepare annual performance reports drawing on any evaluation portfolio generated by the central unit, the frequency with which cabinet briefs cite the government’s synthesis evaluation reports, or the existence of institutional mechanisms – such as interministerial steering committees or standing parliamentary subcommittees – tasked with reviewing cumulative learning across multiple evaluations (CLEARAA, 2020; Kanyamuna, 2021).",False,True,False,"(CLEARAA, 2020; Kanyamuna, 2021)",parenthetical,CLEARAA,2020,False,,,,False,,High
