review_id,section,claim_id,claim_text,citation_author,citation_year,source_pdf_path,verdict,rationale,evidence_span,required_fix,risk_flags,page_anchor,proposed_rewrite,rewrite_notes,rewrite_flags
2_1,unknown,843f2ae1,"For example, Kanyamuna (2021) underscores the value of a whole-of-government approach, in which standardized indicators and integrated national frameworks ensure that data are comparable across ministries and feed into a shared platform for evidence-based policy.",Kanyamuna,2021,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which discusses the importance of a national monitoring and evaluation system that includes coordination among data producers, common standards, and integrated platforms to support evidence-based policy. This aligns with the 'whole-of-government approach' mentioned in the claim.",pp. 3,none,page_mismatch,,,,
2_1,unknown,e2ec7769,"Country-led approaches further emphasize that local contexts, rather than donor imperatives, should dictate the focus and structure of M&E system interventions (Chirau, Masilela, & Dlakavu, 2020).",Dlakavu,2020,pilot_inputs/sources_pdf/Chirau_2020.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim that country-led approaches emphasize local contexts over donor imperatives is supported by the source, which discusses the ownership principle where each country's M&E system is owned and led by the country itself, with local partners implementing interventions (pp. 2-3).",pp. 2-3,none,,,,,
2_1,unknown,2ef64f8a,"Another cornerstone of M&E systems strengthening lies in formalizing M&E within governance structures, often referred to as “institutionalization.” This process includes legal or policy mandates requiring government agencies to not only collect data but also use it systematically in planning and budgeting (Matsiliza, 2019).",Matsiliza,2019,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention legal or policy mandates requiring government agencies to collect and use data systematically in planning and budgeting, nor do they discuss the concept of 'institutionalization' as described in the claim.","pp. 4, 9",The review author should provide a more accurate summary of the source or find a source that explicitly discusses the institutionalization of M&E systems with legal or policy mandates.,insufficient_evidence,,,,
2_1,unknown,2cf4e277,"Makadzange (2022) describes this as achieving “fully institutionalised M&E systems,” which entails embedding M&E principles across the public sector, reinforcing them with legislation, and ensuring that responsibilities for data collection, analysis, and reporting are clearly designated.",Makadzange,2022,pilot_inputs/sources_pdf/Makadzange_2022.pdf,UNSUPPORTED_FAIL,"The claim that Makadzange (2022) describes achieving 'fully institutionalised M&E systems' with specific elements such as embedding M&E principles across the public sector, reinforcing them with legislation, and clear designation of responsibilities is not supported by the provided excerpts. The excerpts discuss the institutionalisation process and national M&E policy frameworks but do not mention these specific elements.","pp. 9, pp. 5","Revise the claim to align with the actual content of Makadzange (2022), focusing on the general discussion of institutionalisation and policy frameworks without attributing specific elements not mentioned in the text.",insufficient_evidence,,,,
2_1,unknown,7e501136,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",Chirau et al.,2022,pilot_inputs/sources_pdf/Chirau_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts from Chirau et al. (2020) do not mention the integration of M&E with budgeting processes, nor do they emphasize its importance. The focus is on strengthening M&E systems and capacity building.",pp. 1-3,Remove the citation to Chirau et al. (2022) regarding budgeting processes or provide a correct source that supports the claim.,page_mismatch;insufficient_evidence,,,,
2_1,unknown,d6f78724,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",Kanyamuna et al.,2018,pilot_inputs/sources_pdf/Kanyamuna_2018.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim that integration with budgeting processes is crucial is supported by the source, which states that linking the M&E system with the budget process is acknowledged as an important element in the Zambian case.",pp. 7: 'The linkage between the sector M&E system and the budget process is acknowledged as an important element in the Zambian case.',none,page_mismatch,,,,
2_1,unknown,077432c6,"By linking M&E outputs to annual budget cycles and strategic planning, governments can create what Kanyamuna (2021) calls a “functional whole-of-government monitoring and evaluation system.” This integration signals that evaluation and monitoring are not isolated tasks but integral components of evidence-based governance.",Kanyamuna,2021,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which discusses linking M&E to planning, budgeting, and policy processes as part of building a whole-of-government monitoring and evaluation system. This aligns with the idea of integrating M&E into governance as described in the claim.",pp. 2,none,,,,,
2_1,unknown,589afda2,"Policy integration also involves creating national M&E frameworks or strategies that guide ministries, departments, and agencies (CLEAR-AA, 2020).",CLEAR-AA,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention the creation of national M&E frameworks or strategies that guide ministries, departments, and agencies. The focus is on partnerships and challenges related to M&E systems, but not on policy integration or national frameworks.",pp. 7-10,"Clarify the source of the claim about national M&E frameworks or strategies, or provide additional context or citations that support this claim.",insufficient_evidence,,,,
2_1,unknown,86245ea2,"As Masvaure and Fish (2022) note, a recurring challenge is balancing monitoring (which tends to be more routine and compliance-oriented) with deeper evaluative work.",Masvaure and Fish,2022,pilot_inputs/sources_pdf/Masvaure_2020.pdf,UNSUPPORTED_FAIL,The provided excerpts do not mention the challenge of balancing monitoring with deeper evaluative work as claimed. The focus is on M&E capacity strengthening and challenges related to funding and human resources.,pp. 2-6,The review author should verify the claim with the correct source or provide additional context if available.,page_mismatch;insufficient_evidence,,,,
2_1,unknown,5606d472,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",Chirau et al.,2022,pilot_inputs/sources_pdf/Chirau_2020.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which emphasizes the importance of political buy-in for channeling resources and fostering an enabling environment for M&E. The source also mentions the role of political and senior administrators as champions for M&E.",pp. 3: 'Political buy-in is required for channelling adequate resources for promoting M&E and fostering an enabling environment.',none,page_mismatch,,,,
2_1,unknown,bcc1dbad,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",Campbell,2021,pilot_inputs/sources_pdf/Campbell_2021.pdf,UNSUPPORTED_FAIL,"The provided excerpts from Campbell (2021) do not mention political buy-in, high-level support, or the specific role of these factors in legitimizing M&E, allocating resources, or championing evidence-based decision-making. The excerpts focus on systems thinking and its application in policy making, not on political support for M&E.",pp. 61-83,Replace the citation with a source that specifically discusses the importance of political buy-in and high-level support in M&E contexts.,insufficient_evidence;page_mismatch,,,,
2_1,unknown,41540df6,"Donor-driven fragmentation, however, can inhibit the formation of robust national systems when multiple agencies fund short-term, project-based M&E without aligning to national strategies (Chirau, Masilela, & Dlakavu, 2020).",Dlakavu,2020,pilot_inputs/sources_pdf/Chirau_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not discuss donor-driven fragmentation or the impact of multiple agencies funding short-term, project-based M&E without aligning to national strategies. The focus is on country-led M&E systems and the role of CLEAR-AA in supporting these systems.",pp. 1-3,The review author should provide a more relevant source or adjust the claim to align with the content of the cited source.,insufficient_evidence,,,,
2_1,unknown,ef30c0f3,"The presence of professional evaluation associations, academic programs in M&E, and communities of practice can cultivate shared learning and advocacy for best practices (Makadzange, 2022).",Makadzange,2022,pilot_inputs/sources_pdf/Makadzange_2022.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is supported by the source, which discusses the existence of M&E professional organizations, national discourses, and the diffusion and pluralism of M&E praxis, all of which contribute to shared learning and advocacy for best practices.",pp. 3: 'Existence of M&E professional organisations/ bodies... national seminars and conferences on M&E.',none,page_mismatch,,,,
2_1,unknown,c5e6cae8,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",Masvaure & Chirau,2020,pilot_inputs/sources_pdf/Masvaure_2020.pdf,FAITHFUL_PARAPHRASE_PASS,"The source discusses the lack of measurement in M&E capacity strengthening initiatives, which aligns with the claim that few offer concrete frameworks for evaluating the effectiveness of these strategies. This supports the review's assertion about the scarcity of evaluation frameworks.","pp. 3: 'Despite significant investments in strengthening M&E capacity in the African context, evidence shows that monitoring and evaluation (measurement) of the initiatives is non-existent.'",none,,,,,
2_1,unknown,28099d80,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",CLEAR-AA,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not discuss frameworks for evaluating the effectiveness of holistic and long-term strategies, nor do they address the sustainability of such strategies. The focus is on the membership and partnerships of TanEA, not on evaluation frameworks.",pp. 12-19,Include excerpts that specifically discuss frameworks for evaluating the effectiveness and sustainability of holistic and long-term strategies.,insufficient_evidence,,,,
2_1,unknown,77b1a3d8,"Researchers increasingly call for outcome-based indicators that track changes in how data are generated, used, and integrated into policy decisions (Masvaure & Fish, 2022).",Masvaure & Fish,2022,pilot_inputs/sources_pdf/Masvaure_2020.pdf,UNSUPPORTED_FAIL,"The cited source does not mention outcome-based indicators or tracking changes in data generation, use, or integration into policy decisions. It focuses on M&E capacity strengthening and the need for measurement tools, but not specifically on outcome-based indicators as described in the claim.",pp. 2-6,"Revise the claim to align with the source's focus on M&E capacity strengthening and the need for measurement tools, or find a more appropriate source that supports the claim about outcome-based indicators.",insufficient_evidence,,,,
2_1,unknown,da47079f,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",Chirau et al.,2022,pilot_inputs/sources_pdf/Chirau_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention governments instituting elaborate monitoring frameworks focusing on compliance and indicator tracking, nor do they discuss a shortfall in conducting rigorous evaluations for deeper insights. The excerpts focus on the challenges and recommendations for strengthening M&E systems in African countries, but do not support the specific claim made in the review.",pp. 1-3,"The review author should provide additional sources or excerpts that specifically discuss governments' focus on compliance and indicator tracking, and their shortfall in conducting rigorous evaluations.",insufficient_evidence,,,,
2_1,unknown,85bb6acc,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",Matsiliza,2019,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,UNSUPPORTED_FAIL,"The excerpts from Matsiliza (2019) discuss the importance of monitoring and evaluation (M&E) systems, capacity building, and the need for systematic data collection, but do not specifically address the claim that governments focus on compliance and indicator tracking while falling short on rigorous evaluations for deeper insights.","pp. 4, 7, 9",The review author should provide additional sources or excerpts that specifically discuss the shortfall in conducting rigorous evaluations for deeper insights.,insufficient_evidence,,,,
2_1,unknown,2fda354b,"Without coordination, these projects risk creating parallel data systems, duplicative indicators, or short-lived capacity-building efforts that dissipate once donor funding ends (Chirau, Masilela, & Dlakavu, 2020).",Dlakavu,2020,pilot_inputs/sources_pdf/Chirau_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention the risk of creating parallel data systems, duplicative indicators, or short-lived capacity-building efforts without coordination. The focus is on country-led M&E systems and the importance of local ownership and capacity building.",pp. 1-3,The review author should provide a more accurate summary of the source content or find a more relevant source that supports the claim.,insufficient_evidence,,,,
2_1,unknown,637fbd87,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",Chirau et al.,2022,pilot_inputs/sources_pdf/Chirau_2020.pdf,UNSUPPORTED_FAIL,"The provided excerpts from Chirau et al. (2020) do not discuss the importance of balancing demand and supply of M&E information. The focus is on strengthening M&E systems and challenges faced, but not on balancing demand and supply.",pp. 1-3,The review author should provide a more relevant citation that specifically discusses the balance of demand and supply in M&E information.,page_mismatch;insufficient_evidence,,,,
2_1,unknown,8f3bb285,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",Kanyamuna,2021,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim about the importance of balancing demand and supply of M&E information is supported by the source, which discusses the need for both the capacity to supply and demand M&E information for a functional system. This aligns with the claim's emphasis on balancing these aspects.","pp. 3: 'The two aspects are; a) the capacity to supply M&E information, and b) the capacity to demand and use M&E information.'",none,,,,,
2_1,unknown,c8b12bb6,Sources such as CLEAR-AA (2020) and Chirau et al.,CLEAR-AA,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim mentions sources such as CLEAR-AA (2020) and Chirau et al., which is supported by the excerpts. The document is authored by CLEAR-AA and mentions Dr. Takunda Chirau as a contributor, aligning with the claim.","pp. 4-5: 'Ms Matodzi Amisi, Dr Francis Mwai jande and Dr Takunda Chirau led the process of developing the Report.'",none,secondary_citation,,,,
2_2,unknown,5cc8218c,"Focusing on five influential frameworks – King & Alkin (2018), Kuchenmüller et al.",King & Alkin,2018,pilot_inputs/sources_pdf/King_2018.pdf,UNSUPPORTED_FAIL,"The claim mentions 'five influential frameworks' including King & Alkin (2018), but the provided excerpts do not discuss any specific frameworks or models attributed to King & Alkin (2018). The excerpts focus on evaluation theories and models in general without specifying five influential frameworks.","pp. 5, 17, 19",Clarify the specific frameworks being referred to and ensure they are discussed in the cited source.,insufficient_evidence;ambiguous_citation,,,,
2_2,unknown,6a263e86,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",Ottoson,2009,pilot_inputs/sources_pdf/Ottoson_2009.pdf,FAITHFUL_PARAPHRASE_PASS,"The source discusses multilevel knowledge-for-action theories and knowledge translation, which aligns with the claim about exploring multilevel influence models and knowledge-translation networks. However, the source does not explicitly mention capacity-building ecosystems or push–pull–exchange mechanisms.","pp. 6-7: 'knowledge translation is a transdisciplinary, multilevel knowledge-for-action theory' and 'The other four knowledge-for-action theories comprise multiple, even competing, theories.'",none,insufficient_evidence,,,,
2_2,unknown,a05fab33,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",Stewart,2015,pilot_inputs/sources_pdf/Stewart_2015.pdf,UNSUPPORTED_FAIL,"The excerpts from Stewart (2015) do not mention multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, or push–pull–exchange mechanisms. The focus is primarily on capacity-building activities and evidence-based decision making.",pp. 2-5,"Remove references to multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, and push–pull–exchange mechanisms in relation to Stewart (2015) as they are not supported by the source.",insufficient_evidence,,,,
2_2,unknown,3b4d9f3f,"(2022), Ottoson (2009), Stewart (2015), and Yearwood (2018) – it explores multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, and push–pull–exchange mechanisms.",Yearwood,2018,pilot_inputs/sources_pdf/Yearwood_2018.pdf,UNSUPPORTED_FAIL,"The excerpts from Yearwood (2018) do not mention multilevel influence models, knowledge-translation networks, knowledge-for-action lenses, capacity-building ecosystems, or push–pull–exchange mechanisms. The content focuses on evidence use in policy-making and the theory of change, which does not align with the claim.",pp. 2-7,Remove Yearwood (2018) from the claim or provide a correct source that supports the mentioned concepts.,insufficient_evidence,,,,
2_2,unknown,69c4075c,"Multilevel Influence Frameworks (King & Alkin, 2018)",King & Alkin,2018,pilot_inputs/sources_pdf/King_2018.pdf,UNSUPPORTED_FAIL,"The claim 'Multilevel Influence Frameworks (King & Alkin, 2018)' is not directly supported by the provided excerpts. The excerpts discuss evaluation influence and theories but do not mention a 'Multilevel Influence Framework' specifically attributed to King & Alkin.","pp. 1, 14, 16",Clarify the specific framework being referenced or provide additional context or excerpts that directly support the claim.,insufficient_evidence;ambiguous_citation,,,,
2_2,unknown,d501ca6e,"King and Alkin (2018) propose a multilevel framework that integrates earlier models of evaluation use and influence, particularly Henry and Mark’s (2003) Schematic Theory and Kirkhart’s (2000) Integrated Theory.",King and Alkin,2018,pilot_inputs/sources_pdf/King_2018.pdf,UNSUPPORTED_FAIL,The excerpts do not provide evidence that King and Alkin (2018) propose a multilevel framework integrating earlier models by Henry and Mark (2003) and Kirkhart (2000). The excerpts discuss these theories but do not indicate that King and Alkin created a new framework based on them.,"pp. 14, 21","Clarify the specific contribution of King and Alkin (2018) regarding the integration of earlier models, or adjust the claim to reflect the content of the source.",insufficient_evidence,,,,
2_2,unknown,3cdb60bf,"Knowledge-for-Action Lenses (Ottoson, 2009)",Ottoson,2009,pilot_inputs/sources_pdf/Ottoson_2009.pdf,EXACT_QUOTE_PASS,"The claim 'Knowledge-for-Action Lenses' is directly supported by the cited source, which discusses 'Knowledge-for-Action Theories' and their application in evaluation, as seen in the excerpts.",pp. 2-3,none,page_mismatch,,,,
2_2,unknown,2bc760b8,"Ottoson (2009) synthesizes five influential theoretical perspectives – knowledge utilization, diffusion, implementation, transfer, and translation – into what she calls “knowledge-for-action” theories.",Ottoson,2009,pilot_inputs/sources_pdf/Ottoson_2009.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which discusses the synthesis of five theories into 'knowledge-for-action' theories, focusing on knowledge utilization, diffusion, implementation, transfer, and translation.","pp. 1-2: 'Five knowledge-for-action theories are summarized and compared...knowledge utilization, diffusion, implementation, transfer, and translation.'",none,,,,,
2_2,each theory contributes distinct evaluative emphases,94916acf,"Capacity-Building Ecosystem Theory of Change (Stewart, 2015)",Stewart,2015,pilot_inputs/sources_pdf/Stewart_2015.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim about the Capacity-Building Ecosystem Theory of Change is supported by the source, which discusses a theory of change for building capacity to use research evidence among policy makers in southern Africa. The source outlines strategies and assumptions related to capacity building, aligning with the claim.","pp. 1, 8",none,page_mismatch,,,,
2_2,each theory contributes distinct evaluative emphases,8ff48e1b,"Stewart (2015) proposes a people-centered, demand-led Theory of Change (ToC) for building the capacity of decision-makers to use research evidence, grounded in the governance, economic, and social realities of Southern Africa.",Stewart,2015,pilot_inputs/sources_pdf/Stewart_2015.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which discusses a people-centered, demand-led Theory of Change for building capacity among decision-makers in Southern Africa, focusing on the use of research evidence and considering local realities.","pp. 1, 5",none,page_mismatch,,,,
2_2,each theory contributes distinct evaluative emphases,e33fdb3e,"Push–Pull–Exchange Mechanism (Yearwood, 2018)",Yearwood,2018,pilot_inputs/sources_pdf/Yearwood_2018.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention a 'Push–Pull–Exchange Mechanism' or any similar concept. The excerpts focus on research uptake, stakeholder dialogues, and evidence use in policy-making, but do not describe or name a mechanism by that title.",pp. 5-7,Replace the citation with a source that explicitly discusses the 'Push–Pull–Exchange Mechanism'.,insufficient_evidence;page_mismatch,,,,
2_2,each theory contributes distinct evaluative emphases,68dcd7a3,Yearwood (2018) presents a Theory of Change grounded in the EvIDeNCe initiative – an integrated regional effort led by the Caribbean Public Health Agency (CARPHA) to strengthen the uptake of research in health policymaking.,Yearwood,2018,pilot_inputs/sources_pdf/Yearwood_2018.pdf,FAITHFUL_PARAPHRASE_PASS,"The claim is a faithful paraphrase of the source, which discusses the development of a Theory of Change for strengthening research uptake in health policy, specifically mentioning the EvIDeNCe initiative led by CARPHA.",pp. 1-2: 'We developed a theory of change for strengthening research uptake in health policy... a case study of the Evidence Informed Decision Making Network of the Caribbean.',none,,,,,
2_2,each theory contributes distinct evaluative emphases,20bbd708,"Across frameworks, this includes efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals (Ottoson, 2009; Yearwood, 2018), and harmonizing indicator sets across networks (Kuchenmüller et al., 2022).",Ottoson,2009,pilot_inputs/sources_pdf/Ottoson_2009.pdf,UNSUPPORTED_FAIL,"The cited source excerpts from Ottoson (2009) do not mention efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals, or harmonizing indicator sets across networks. The content focuses on knowledge-for-action theories and their implications for evaluation, not on specific efforts or frameworks mentioned in the claim.",pp. 3-9,"Replace Ottoson (2009) with a source that specifically discusses upgrading data systems, producing tailored evidence briefs, establishing interagency portals, or harmonizing indicator sets.",insufficient_evidence,,,,
2_2,each theory contributes distinct evaluative emphases,b41dccb0,"Across frameworks, this includes efforts such as upgrading data systems, producing tailored evidence briefs, establishing interagency portals (Ottoson, 2009; Yearwood, 2018), and harmonizing indicator sets across networks (Kuchenmüller et al., 2022).",Yearwood,2018,pilot_inputs/sources_pdf/Yearwood_2018.pdf,UNSUPPORTED_FAIL,"The excerpts from Yearwood (2018) do not mention upgrading data systems, establishing interagency portals, or harmonizing indicator sets across networks. The focus is on evidence briefs, stakeholder dialogues, and the EvIDeNCe portal, which is not described as an interagency portal.",pp. 3-7,"Remove the reference to Yearwood (2018) for claims about upgrading data systems, establishing interagency portals, and harmonizing indicator sets.",insufficient_evidence,,,,
2_2,each theory contributes distinct evaluative emphases,63d7cdbb,"Stewart (2015) emphasizes that evidence use must be institutionally rewarded – through HR systems, budget allocations, and leadership mandates – to become routine.",Stewart,2015,pilot_inputs/sources_pdf/Stewart_2015.pdf,UNSUPPORTED_FAIL,"The provided excerpts do not mention the need for institutional rewards through HR systems, budget allocations, or leadership mandates to make evidence use routine. The focus is on capacity building, behavior change, and understanding decision-making contexts.",pp. 4-8,The review should be revised to accurately reflect the content of Stewart (2015) or provide a correct citation that supports the claim.,insufficient_evidence,,,,
